"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC1900012000.hg.1","TEAD2",-1.19382206236448,8.14336818949958,-2.14465958333789,0.0504150435650841,0.996929427858641,-4.26633328809831
"TC1500010878.hg.1","VWA9",-1.47075939218531,8.38080939298326,-2.13982133396664,0.050868419563918,0.996929427858641,-4.26797407809598
"TC2000007479.hg.1","PI3",1.7759479189377,9.0890322624374,2.13841238695133,0.0510011587117574,0.996929427858641,-4.2684518256161
"TC0100009020.hg.1","CDC7",-1.23536696920528,6.25165405200609,-2.13597452114567,0.0512315952597281,0.996929427858641,-4.26927838725452
"TC0900007129.hg.1","MELK",-1.58098092646243,7.55759410278026,-2.12276032656111,0.0524975854317742,0.996929427858641,-4.2737570036948
"TC1500007699.hg.1","KIF23",-1.14718557421394,7.99775425533232,-2.1176401716253,0.0529958882635956,0.996929427858641,-4.27549155484325
"TC0200015608.hg.1","LANCL1",-1.152674015401,5.42889464503234,-2.09826684206869,0.0549213196328912,0.996929427858641,-4.28205028938848
"TC0200016659.hg.1","ATP6V1E2",-1.00388394183888,5.05685818370556,-2.09147118684649,0.0556119258281369,0.996929427858641,-4.28434918520024
"TC0600012293.hg.1","MB21D1",-1.35501470558968,6.27376216504951,-2.09093602229268,0.0556666517932145,0.996929427858641,-4.28453018524189
"TC0400008664.hg.1","PLK4",-1.23851869203049,6.29234317105089,-2.08893964473825,0.0558712415396232,0.996929427858641,-4.28520533492538
"TC0500008308.hg.1","WDR36",-1.31043039381968,7.63933209376353,-2.0792364780824,0.0568755697951249,0.996929427858641,-4.28848561161653
"TC1700011298.hg.1","TUBD1",-1.03875739501989,5.06910045929034,-2.07079685972828,0.0577626563401116,0.996929427858641,-4.29133703678346
"TC0100014202.hg.1","ORC1",-1.17764819828312,6.88252353658789,-2.06961299610319,0.0578881090229915,0.996929427858641,-4.29173688894838
"TC1000008471.hg.1","KIF11",-1.22834795865062,8.12784372171394,-2.06684976789807,0.0581819045999029,0.996929427858641,-4.29267004722515
"TC2000009017.hg.1","SOGA1",-1.04599494531792,6.06909997699024,-2.05827487739722,0.0591023985649553,0.996929427858641,-4.29556467999211
"TC0200014845.hg.1","SPC25",-1.10794960197132,7.88259039506179,-2.04741696502952,0.0602872345663465,0.996929427858641,-4.29922739093403
"TC1500007143.hg.1","SEMA6D",1.21783269237961,7.85232565232998,2.04355631119563,0.0607137624204465,0.996929427858641,-4.30052898246565
"TC1800007316.hg.1","SKA1",-1.16470492298907,6.16830930770814,-2.0373979879813,0.0613998912976892,0.996929427858641,-4.30260440216806
"TC0400011192.hg.1","PLAC8",1.6833571690971,11.0079899566149,2.02351083569312,0.0629733768539602,0.996929427858641,-4.30728071299223
"TC1200010921.hg.1","GLS2",-1.17024616205063,4.71479063003545,-2.02250963732235,0.0630882373567395,0.996929427858641,-4.30761764303114
"TC1100009686.hg.1","CDHR5",1.1819647897059,7.83571352815738,2.0059807079719,0.0650124897386905,0.996929427858641,-4.31317580720491
"TC1300006770.hg.1","ALOX5AP",1.46223346026949,7.86566216794525,1.99995389698897,0.0657273974559198,0.996929427858641,-4.31520037203621
"TC0600013231.hg.1","SGK1",1.40461057530302,6.77992417483276,1.99828595582242,0.0659265189212582,0.996929427858641,-4.31576047636542
"TC1700011117.hg.1","LINC00483",1.34446555863596,8.27622498984591,1.99803324405668,0.0659567361919049,0.996929427858641,-4.31584533076005
"TC1100012358.hg.1","USP28",-1.11859282167577,6.2139330783632,-1.99479379355258,0.0663452086754028,0.996929427858641,-4.31693287828576
"TC1000011420.hg.1","CPEB3",0.983106263643788,5.74052076662608,1.99076281422831,0.0668315244068571,0.996929427858641,-4.31828568619934
"TC0X00007936.hg.1","CENPI",-1.10870801400041,5.80733256865946,-1.9872567168816,0.06725716536539,0.996929427858641,-4.31946191135699
"TC0200016505.hg.1","CCDC138",-0.975808207850624,5.06329920611365,-1.98682884099349,0.0673092789664873,0.996929427858641,-4.31960542739383
"TC0800007552.hg.1","MCM4",-1.20614622700702,7.82150815588408,-1.97386995243714,0.0689052127435129,0.996929427858641,-4.32394911780142
"TC0X00008228.hg.1","DOCK11",-1.34021576869014,6.04257628668108,-1.97375521017134,0.068919496731339,0.996929427858641,-4.32398755263184
"TC0900011033.hg.1","ALDOB",1.49819741656223,7.55342895443233,1.96414450208454,0.0701255468663737,0.996929427858641,-4.32720517839421
"TC0100014895.hg.1","ZNF644",-1.07464869873905,6.84838746763066,-1.96334736810803,0.0702264388392858,0.996929427858641,-4.32747190815331
"TC1100010055.hg.1","SCUBE2",1.09881895679329,4.43034567990963,1.9627736229608,0.0702991387292172,0.996929427858641,-4.3276638754077
"TC0100012593.hg.1","WRAP73",-0.998139439631021,6.22107546320829,-1.96000142207715,0.0706513748799305,0.996929427858641,-4.32859124805368
"TC1100012166.hg.1","CASP5",1.44725755859124,8.03727880035099,1.95662025404319,0.071083163152643,0.996929427858641,-4.32972195677385
"TC1800008743.hg.1","CCDC68",1.08992015840676,6.29348232159778,1.95077005459531,0.0718359370764729,0.996929427858641,-4.3316773457118
"TC0X00010459.hg.1","MORC4",-1.03673732316403,6.08526877431847,-1.94802712276519,0.0721913763453265,0.996929427858641,-4.33259371055946
"TC2100008508.hg.1","CHAF1B",-1.2032477811435,8.34250946071985,-1.93713912520615,0.0736181171616673,0.996929427858641,-4.33622835856444
"TC0700013119.hg.1","XRCC2",-1.12513236797639,7.71291281123155,-1.93425039222363,0.0740009281238046,0.996929427858641,-4.33719190484308
"TC1900006727.hg.1","UHRF1",-1.16144738155439,8.36023767956837,-1.93007663886436,0.0745572218106154,0.996929427858641,-4.33858348871324
"TC0200007195.hg.1","TTC27",-0.970085576616779,6.0963689482531,-1.92789225032965,0.0748498763105604,0.996929427858641,-4.3393115139717
"TC0X00007119.hg.1","JADE3",-1.05854891436184,6.87990895662715,-1.91141272209729,0.0770915294307299,0.996929427858641,-4.34479758955208
"TC1400010625.hg.1","ZNF410",-1.03987842560452,7.18526685873724,-1.90906965873645,0.0774151399418298,0.996929427858641,-4.34557667609211
"TC0100009561.hg.1","TTF2",-1.01013902999811,6.93134783108385,-1.88865936560139,0.0802864965647926,0.996929427858641,-4.35235312521821
"TC1600008137.hg.1","CES3",1.24408889234711,9.88609782606447,1.87709015340987,0.0819564507776812,0.996929427858641,-4.35618589151138
"TC0100009333.hg.1","GPSM2",-1.00021544870902,7.29993929562001,-1.87396117130514,0.0824134507103107,0.996929427858641,-4.35722142043817
"TC1200008595.hg.1","NR1H4",1.32172597302289,5.21076609030355,1.87212866055488,0.0826821607792268,0.996929427858641,-4.35782767014626
"TC0200009986.hg.1","ZAK",-1.16103612208064,8.26999456917836,-1.87167325342362,0.0827490616751118,0.996929427858641,-4.35797830774489
"TC0800008726.hg.1","TBC1D31",-0.990223184648643,6.3332387306741,-1.87015040919044,0.0829731270106026,0.996929427858641,-4.358481955649
"TC0400010681.hg.1","LRRC66",1.00804446610347,6.38592488165343,1.86995639479772,0.0830017127288544,0.996929427858641,-4.35854611375978
"TC0600009095.hg.1","MICAL1",1.1082810967531,7.96652810787825,1.86843928905632,0.0832255461829799,0.996929427858641,-4.35904773920195
"TC0200012009.hg.1","DTNB",-1.03930313832238,6.12244597248958,-1.85098012954085,0.0858408314699399,0.996929427858641,-4.36481245883307
"TC0500008483.hg.1","SNX24",1.00575705682162,6.42927229726877,1.84787733305472,0.0863132648490136,0.996929427858641,-4.36583536151185
"TC0800011137.hg.1","RAD54B",-1.0085764483013,6.82387247566966,-1.84033031954498,0.0874721313617539,0.996929427858641,-4.36832134379063
"TC0500012166.hg.1","CDC25C",-0.951542563195012,6.11891275263422,-1.83584444068903,0.0881675441009842,0.996929427858641,-4.36979759452289
"TC1100013041.hg.1","VPS51",-1.0753740296009,6.36578137957018,-1.83575545967026,0.0881813881432981,0.996929427858641,-4.3698268665117
"TC1700007636.hg.1","PIGW",-1.07547488511691,6.5200179924493,-1.83491960799316,0.0883115285809028,0.996929427858641,-4.37010181544261
"TC1100007727.hg.1","FAM111B",-1.14760426555354,6.39481403697148,-1.83447778245916,0.0883803894274762,0.996929427858641,-4.37024713675442
"TC0100011512.hg.1","DTL",-1.15929128119512,8.52082007071983,-1.83183412437078,0.0887934233130492,0.996929427858641,-4.37111645017444
"TC0900007492.hg.1","PIP5K1B",0.958080001261305,5.83516579585905,1.82828840175174,0.0893501054139416,0.996929427858641,-4.37228180753851
"TC1100013021.hg.1","FEN1",-1.05543196989156,7.69651567687402,-1.81445795774762,0.0915514616737466,0.996929427858641,-4.37682092231863
"TC0600009333.hg.1","SMPDL3A",1.01624365202727,6.60728524339521,1.81047942015688,0.0921936273023713,0.996929427858641,-4.37812472399653
"TC0200012163.hg.1","XDH",1.19624121548833,7.29302505897231,1.81045982364012,0.0921968002535166,0.996929427858641,-4.37813114376624
"TC0100015079.hg.1","EXTL2",-0.906756384151461,5.24030837219657,-1.80781697974462,0.0926256077527534,0.996929427858641,-4.37899673588885
"TC1100007776.hg.1","MS4A8",1.15348517661867,8.62861078166717,1.80688016624066,0.0927780345831629,0.996929427858641,-4.37930346972939
"TC1900010856.hg.1","PLAUR",1.17044050569359,9.68826873166026,1.80479028367158,0.0931188813983581,0.996929427858641,-4.37998756601859
"TC0900009905.hg.1","CNTFR",0.960697226473401,7.04209656934556,1.80136754134068,0.0936795219801597,0.996929427858641,-4.38110742217225
"TC0100011364.hg.1","SRGAP2",-1.01699573037381,5.52079158052454,-1.80017798557403,0.0938750730881807,0.996929427858641,-4.38149646586531
"TC1700012289.hg.1","CA4",0.917262766108543,6.10718882820659,1.79715969046386,0.094372884202272,0.996929427858641,-4.38248323391938
"TC0200013535.hg.1","LMAN2L",-1.00335435986818,7.35241362661145,-1.79613520832389,0.0945423871258772,0.996929427858641,-4.38281804758214
"TC1500009127.hg.1","PPP1R14D",1.06219749950371,7.34569281272527,1.78967422052543,0.0956176325289118,0.996929427858641,-4.38492817619885
"TC0400006538.hg.1","TACC3",-0.968330822932174,7.42702365114361,-1.78236467278936,0.0968472032607435,0.996929427858641,-4.38731248551861
"TC0500013186.hg.1","PTCD2",-0.91458442735601,5.31394515827229,-1.77674249476694,0.0978024755167801,0.996929427858641,-4.38914422326549
"TC0100011397.hg.1","C4BPB",1.22752500083608,7.89634906852994,1.77084444690337,0.0988136055754294,0.996929427858641,-4.39106378685793
"TC1500007583.hg.1","SLC51B",1.68353223821279,6.91712779971741,1.76920793078201,0.0990958002002581,0.996929427858641,-4.39159602672541
"TC1100009917.hg.1","HBB",1.55212784267881,7.98866494123947,1.76879062365826,0.0991678733397334,0.996929427858641,-4.39173172010623
"TC0200013362.hg.1","FABP1",1.2860047690103,11.6295215321324,1.76650241430513,0.0995638970340349,0.996929427858641,-4.39247557333425
"TC0200016442.hg.1","MSH2",-1.02056980267117,8.15415554144294,-1.7622692936233,0.100300226808899,0.996929427858641,-4.39385082504033
"TC1800007218.hg.1","C18orf25",-1.08136786559242,6.80345417211397,-1.7518818948331,0.102127539435726,0.996929427858641,-4.39722070844466
"TC1200008544.hg.1","NEDD1",-0.9875381308195,5.38805063001517,-1.74292587563952,0.103726625479985,0.996929427858641,-4.40012069472728
"TC1500006785.hg.1","ARHGAP11B",-1.03613668322719,7.38274805532095,-1.74098931819918,0.10407529004543,0.996929427858641,-4.40074707433864
"TC0400012621.hg.1","ACSL1",-1.04926909632407,6.3841368382702,-1.73746349818464,0.104712748713928,0.996929427858641,-4.40188687042405
"TC0300011049.hg.1","QRICH1",0.962739485006283,4.61455738246571,1.73220297668395,0.105670241507412,0.996929427858641,-4.40358592061345
"TC0200007257.hg.1","NDUFAF7",-1.05787685991787,6.54807842408761,-1.72788420303164,0.106462084064566,0.996929427858641,-4.4049794262372
"TC1600009722.hg.1","USP31",-0.956387926254678,5.83008692403521,-1.72616921356145,0.106777973000187,0.996929427858641,-4.40553244144909
"TC0500013336.hg.1","SSBP2",0.998729813934021,8.12493023152381,1.72448958631665,0.10708814836947,0.996929427858641,-4.40607386136468
"TC1700011519.hg.1","HELZ",-1.29098521000098,7.4562586661467,-1.7216658531211,0.107611393087643,0.996929427858641,-4.40698364747622
"TC1600009870.hg.1","SULT1A1",0.997205566257255,8.02702745173856,1.72043793114115,0.107839631224578,0.996929427858641,-4.40737910564836
