"","geneModuleMembership","geneTraitSignificance","SYMBOL"
"1","0.849690676644451","0.168201268651411","MAEL"
"2","-0.86561235317082","0.401890507222259","RP11-12M5.1"
"3","-0.884915272441334","0.541006221720336","GPR25"
"4","-0.813005639087454","0.59400248340137","C1orf95"
"5","-0.817694933251515","0.410935051038269","WDR64"
"6","-0.868138396405246","0.475932424973138","RP4-728D4.2"
"7","0.751419709024831","0.0654687485777491","GLRX2"
"8","0.847129467030552","0.639218839566229","OR2B11"
"9","0.858477561604522","0.176891833355473","XRCC5"
"10","-0.829408905029486","0.246356863326014","TMEM127"
"11","-0.865805610743806","0.535801888252414","LIMS3L"
"12","-0.883030539653344","0.216768689469307","CCDC74B"
"13","0.930307524746062","0.202641016556892","RSAD2"
"14","0.80275088073543","0.269430900335462","OR5H1"
"15","0.924993453600928","0.366242834557814","OR5H15"
"16","-0.945643205339874","0.298703096007168","NEK11"
"17","0.705201327683555","0.691104428890432","DNAH12"
"18","-0.903955984172474","0.00480248116691772","dorsnarby"
"19","-0.901476983386867","0.330968710053323","AMTN"
"20","0.463177534320038","0.241695550493608","YTHDC1"
"21","0.841878968937244","0.548944906583725","FBXL21"
"22","0.881965784387847","0.104030807793234","FEM1C"
"23","0.854387448594118","0.479187551484332","SEPT8"
"24","0.808338046621435","0.15543586907767","JAKMIP2"
"25","0.824167369897105","0.0711739240665328","HIST1H3A"
"26","0.675232493374164","0.775797361611378","ADGB"
"27","-0.959426808191612","0.120968930057725","OR11A1"
"28","0.735350621884991","0.268214257903815","YAE1D1"
"29","-0.757844223549791","0.0395205661858131","MDFIC"
"30","0.785348993133954","0.309176441522025","HIBADH"
"31","-0.818830334107152","0.196481420529392","BAG4"
"32","-0.855926440255619","0.0834812340269273","OXR1"
"33","-0.932303580025753","0.0460964616713261","CD72"
"34","-0.797706514660209","0.000751869498854568","MSMP"
"35","0.78690779989526","0.230747425584843","C9orf50"
"36","-0.843339416978736","0.494406025163448","P2RY10"
"37","0.932419086884129","0.412960167946656","CPXCR1"
"38","0.869003474101384","0.07178423809368","AKAP4"
"39","-0.936996378946639","0.307787363486648","TSPAN4"
"40","0.636636078183162","0.0544754861747565","OR52M1"
"41","0.852228109291062","0.147832495182533","TIMM10"
"42","0.954089174792897","0.418425434672768","CFL1"
"43","0.881823824848473","0.133198091076917","LRRC10"
"44","0.837670452225525","0.022292944078991","NR2C1"
"45","-0.944724719342982","0.0931698511057267","MLNR"
"46","0.485963098684079","0.265062737265799","ELF1"
"47","0.839462514490299","0.608250072420451","SERPINA12"
"48","0.907351327068216","0.0566163313090526","PSME2"
"49","0.780360127495514","0.508835806507895","FMN1"
"50","0.931998044642655","0.361552648357104","MYO9A"
"51","0.850903054008893","0.197775987840554","LOC646938"
"52","-0.853019997604662","0.305931995340727","ATP10A"
"53","0.912418441547339","0.488992321480064","LRRC57"
"54","0.930952082630433","0.141133120556222","CEP152"
"55","-0.725282527514131","0.56521249819212","SLC12A1"
"56","0.847192196847922","0.390218401374472","TM2D3"
"57","0.873076685051922","0.107768538632832","SNX29P2"
"58","-0.829148346580529","0.150740182643866","KIAA0430"
"59","-0.901675596512332","0.508495325052817","SNX20"
"60","0.741318179011522","0.208595953464347","KSR1"
"61","-0.869802740599965","0.60460695360251","TMC8"
"62","0.437304110047723","0.268287216554198","PITPNA"
"63","0.820327255430297","0.344770512569119","MYH13"
"64","-0.931750929934948","0.421165018049006","CRLF3"
"65","0.870829707146667","0.649208066188788","TBC1D3"
"66","-0.910596053229527","0.385884892963182","CD79B"
"67","0.803581310796194","0.669053683511035","TBC1D3L"
"68","-0.762540728818311","0.225426676996229","WTIP"
"69","-0.77174654225406","0.691845418583741","TMEM145"
"70","0.886566173453248","0.143405657181022","ZSCAN5A"
"71","-0.888229541564379","0.00355153274132772","LOC79160"
"72","-0.970720415592282","0.515674536529576","SLC2A11"
"73","-0.863548322939426","0.631866637225091","LEUTX"
