"","geneModuleMembership","geneTraitSignificance","SYMBOL"
"1","0.931144111111627","0.0930277033323971","FBXO44"
"2","0.928388232966748","0.0890159503350648","AMY2A"
"3","-0.85354765909532","0.305115583640061","C1orf68"
"4","-0.948775624555089","0.159120946647834","PANK4"
"5","0.595393145745835","0.238059559714976","PRAMEF19"
"6","0.889752760325721","0.239132363521309","KCNH1"
"7","-0.968499310008098","0.0241358204050252","MT1HL1"
"8","0.952752229409813","0.0271852923114171","ZNF124"
"9","0.982259142023032","0.14284876365146","OR2T10"
"10","-0.83490480941255","0.0890953123065808","HPCAL1"
"11","0.744666875669558","0.0369723574417678","PTCD3"
"12","0.87513651278532","0.493170823056413","METAP1D"
"13","-0.813441599823687","0.0699112460922719","C2orf91"
"14","0.816060765322408","0.220262134986577","CD8A"
"15","0.880236948837299","0.155639764176237","LYG2"
"16","-0.449832108486711","0.0777929731552973","RNF25"
"17","-0.885269807814863","0.0114555413474648","LIMS3L"
"18","-0.943148010261295","0.137259087596236","C3orf52"
"19","0.942584374114926","0.186281179854094","EIF2A"
"20","-0.809276545752613","0.207792935405998","RPN1"
"21","0.909026424438399","0.0780756932233974","OXSM"
"22","0.920956820527796","0.253074582659463","NPFFR2"
"23","0.952676164720017","0.0964599816879545","GLRA3"
"24","-0.782056826986982","0.137379917655405","ADGRL3"
"25","0.784731477228239","0.425455565657894","ROPN1L"
"26","0.816429733828237","0.414576406850736","C5orf42"
"27","0.921849204573452","0.128963866560037","C5orf64"
"28","0.857837401737277","0.177676645339961","OPRM1"
"29","0.924970229835779","0.00463272333825879","POU5F1"
"30","0.944631566153686","0.146023155837672","SCML4"
"31","-0.891960296664885","0.233655045357254","C7orf69"
"32","-0.775749065146553","0.0333159582579688","STAG3L4"
"33","0.850705822285249","0.0275461597408642","TRIP6"
"34","0.906078293717751","0.26889347437875","NFE4"
"35","-0.797195152876699","0.0825138084805825","HOXA13"
"36","0.987095521351942","0.0601935743635283","RHPN1"
"37","0.878910296001369","0.0290682480873608","USP17L7"
"38","-0.78597534580935","0.0517484695434815","PDCD1LG2"
"39","0.844470548335864","0.353482587433908","GRIA3"
"40","-0.637084854662234","0.0538261919853521","CD40LG"
"41","0.881654811915263","0.359753930828364","CMC4"
"42","-0.953314389441937","0.0203030743345143","TCEANC"
"43","0.940634002144272","0.31713427153682","ENKUR"
"44","0.90162141194369","0.0316573502491157","PPP1R3C"
"45","-0.779217335865444","0.164569792119466","SMNDC1"
"46","0.842843958322834","0.474471726670919","SFXN4"
"47","-0.837879847959855","0.0970656371158027","ADM"
"48","-0.905325437630723","0.388907489746788","CD44"
"49","-0.775108463823566","0.00950558606661413","FADD"
"50","-0.936965437006121","0.384242681908919","OR8G1"
"51","0.918155235574413","0.0878583968019638","PATE1"
"52","-0.92476034792754","0.450946512087478","MCAM"
"53","0.877097790784824","0.0164902399177515","TMEM225"
"54","-0.943155087624245","0.256617508945628","IGSF9B"
"55","0.862184855824189","0.370931885594327","UBE3B"
"56","-0.917942095374032","0.277437930401787","CYP27B1"
"57","-0.931225396383079","0.316368710457414","BDKRB1"
"58","0.875521830641821","0.11459623059266","NUDT14"
"59","0.90721769973423","0.12000443033498","PIF1"
"60","-0.910474634209992","0.265750172490275","CHST6"
"61","-0.827737678075985","0.36957698788993","ATP2A3"
"62","-0.95814368345561","0.233803136152883","ABI3"
"63","-0.885524664993946","0.0430050804087893","KIF19"
"64","-0.896623455262849","0.371386095674381","PMP22"
"65","-0.880478831206259","0.021969569340337","CENPV"
"66","-0.721998585610582","0.217767961616535","CELF5"
"67","-0.819100681322076","0.0987039094111645","RDH8"
"68","0.928945307223278","0.126187121186557","C20orf85"
"69","0.934454985346534","0.195405763593917","LZTS3"
"70","0.936043306983026","0.0943884953127788","KRTAP19-5"
"71","0.898274430021468","0.223319349589277","RTN4R"
"72","0.505109714874216","0.247827065619476","CACFD1"
