"","geneModuleMembership","geneTraitSignificance","SYMBOL"
"1","0.941284419371289","0.355453672984738","DLGAP3"
"2","-0.954940758539208","0.278591207664937","SEMA6C"
"3","-0.927115045375352","0.252681347905382","TSNAX"
"4","0.936344323595925","0.333151622814435","TP53I3"
"5","-0.542179770020252","0.19946631061203","MYL1"
"6","0.92988481084246","0.554939833169384","FAM228B"
"7","-0.953545650307023","0.58670116382265","TM4SF1-AS1"
"8","-0.904856181722378","0.406428810635321","PACRGL"
"9","-0.934652849132025","0.52180109030166","SLBP"
"10","-0.918304411570404","0.29289262208702","C1QTNF2"
"11","0.886607246582235","0.198767550043402","RNF130"
"12","-0.828652973739673","0.56804404913323","LEMD2"
"13","0.829263206511023","0.676730811258959","TCP10L2"
"14","0.803467470107459","0.556334359062981","MOCS1"
"15","0.914863419751245","0.273957632634724","EPHB6"
"16","0.406874777893565","0.254190181221373","TAS2R16"
"17","0.931203808871234","0.550236909866821","OR2A7"
"18","-0.340967676560585","0.376966172242662","KCND1"
"19","0.96505889727548","0.558317578380056","HNRNPF"
"20","-0.965833003686778","0.430971923410789","SORBS1"
"21","0.920851807884589","0.692446890748374","CRY2"
"22","0.907550763021485","0.327827447103289","DAZAP2"
"23","-0.871222885020618","0.624121952006302","ST8SIA1"
"24","0.941512597094656","0.54168397187427","TRIM13"
"25","-0.914100764449467","0.260253792822635","BAZ1A"
"26","-0.915116164386366","0.229353333331548","ACYP1"
"27","0.953436038980626","0.593640884743431","ONECUT1"
"28","0.942247889611077","0.254927674374083","DCTN5"
"29","0.905945053579853","0.204471065163866","ZNF629"
"30","-0.896814773621047","0.607258531052555","PPM1E"
"31","-0.817587515699642","0.743223040319653","BOD1L2"
"32","-0.896293760323423","0.633164516825683","C19orf38"
"33","0.919109955993539","0.407018914086631","CAPNS1"
"34","0.9495717886701","0.26845189021286","AES"
"35","-0.354661890021395","0.773631935825139","DSCR8"
"36","0.826459213291994","0.617015056648958","SLC5A4"
"37","0.942476692571296","0.378180748548609","DYRK1B"
