"","geneModuleMembership","geneTraitSignificance","SYMBOL"
"1","0.96858818875266","0.572510345594907","PRAMEF7"
"2","0.501269670373213","0.379262300260695","CLCNKB"
"3","0.426535979916324","0.178179449011432","PQLC2"
"4","-0.690534542728092","0.377273806072116","CDC42"
"5","-0.871305344003569","0.284020018909513","WASF2"
"6","-0.523564058927862","0.203618282125096","EPB41"
"7","-0.790475526657694","0.465788681130919","AZIN2"
"8","-0.542299146867726","0.24567961264954","ZSCAN20"
"9","0.842564926632543","0.739853803270268","GJB4"
"10","-0.724549784198385","0.510072618892238","AGO4"
"11","0.784506734808335","0.0594458445361476","MANEAL"
"12","0.530357325308157","0.455884238761738","ATP6V0B"
"13","0.531716618685924","0.035133218197485","B4GALT2"
"14","-0.824616960476957","0.413405728073606","CMPK1"
"15","-0.729350134883396","0.509728670899727","FOXD2"
"16","-0.875126630366377","0.423873788851301","GPX7"
"17","-0.713939147697933","0.116910604395843","FAM159A"
"18","-0.866269182316357","0.649225589410753","FGGY"
"19","-0.819430877006343","0.164523265349873","HOOK1"
"20","-0.882036566666098","0.495375176144719","INADL"
"21","0.944323962415828","0.36677239055811","L1TD1"
"22","0.799138485229481","0.256618899179241","TCTEX1D1"
"23","0.531277535952489","0.759802294872933","MSH4"
"24","-0.772236445657499","0.529694109840115","FAM73A"
"25","0.882768529764671","0.424963596095416","ADGRL2"
"26","-0.479930592410497","0.509313436263038","RTCA"
"27","0.197896029546622","0.427893795743611","CSF1"
"28","0.876518490495772","0.65335860136433","PROK1"
"29","-0.600191078884289","0.33589158288473","ATP5F1"
"30","0.779431768970361","0.244167482201392","LOC643355"
"31","0.631202855599803","0.282357652311804","CD101"
"32","0.661501055511394","0.264178969667847","FAM46C"
"33","-0.48838489387403","0.621537598880459","PPIAL4F"
"34","-0.565332669328887","0.495224341420669","NUDT4P1"
"35","-0.565332669328887","0.495224341420669","NUDT4"
"36","0.747947524801219","0.650280303794929","S100A9"
"37","-0.335477161932709","0.170562833448613","EFNA1"
"38","0.596070878306335","0.00800047716382311","MSTO1"
