"","geneModuleMembership","geneTraitSignificance","SYMBOL"
"1","-0.453375743524749","0.160212327944571","HES3"
"2","0.796289831964395","0.382156161854672","UBE4B"
"3","0.943717933114857","0.3577454039229","TARDBP"
"4","-0.557471343014243","0.114237639645246","AADACL4"
"5","-0.908612307210439","0.0762191647999224","KAZN"
"6","0.884044164715965","0.0223152606276964","SPEN"
"7","-0.60280534887615","0.591362613517256","HSPG2"
"8","0.656817593862822","0.506261322760571","ZBTB40"
"9","0.760602095507353","0.00333115890224038","KDM1A"
"10","-0.842239997189819","0.358264098571094","NIPAL3"
"11","-0.896642654695355","0.467728753637527","CNKSR1"
"12","0.68969348575481","0.394992543825941","CEP85"
"13","-0.85478542756252","0.309296757709207","ATPIF1"
"14","0.669021453501735","0.270064784526578","GMEB1"
"15","0.956795320914666","0.0349943979496769","YTHDF2"
"16","-0.671560298748208","0.297921646817455","EPB41"
"17","0.933539994564753","0.153489378326734","KHDRBS1"
"18","0.877261482073322","0.252675358656627","KPNA6"
"19","0.555968096709191","0.355605938280776","HDAC1"
"20","0.808598035613307","0.0138398017878081","RBBP4"
"21","-0.635523648095495","0.0129394550091182","KIAA1522"
"22","0.538111467143089","0.0620157587045217","S100PBP"
"23","0.865748143737472","0.167902342919508","THRAP3"
"24","0.871100446588208","0.107464251291229","CDCA8"
"25","0.896457686392779","0.000624317892136642","RLF"
"26","0.706113877393828","0.356319109112548","CTPS1"
"27","0.899514052651846","0.113472578381943","CDC20"
"28","0.429020829161386","0.369035731701133","PTPRF"
"29","0.806982677154116","0.382927507131333","ST3GAL3"
"30","0.886095405309388","0.0774568261618922","TOE1"
"31","-0.535603861537572","0.450218813587257","NASP"
"32","0.914384284243929","0.158382147527709","RAD54L"
"33","-0.27684680164879","0.327097991634609","CPT2"
"34","0.819067042325512","0.328844323028066","LRRC42"
"35","-0.651672905136689","0.267805557350481","LEXM"
"36","0.840522177747978","0.231864398739902","PCSK9"
"37","0.916886994332274","0.00463412419473835","USP1"
"38","0.737663454317141","0.325591830643823","ALG6"
"39","-0.864030835902562","0.226948912510629","ST6GALNAC5"
"40","-0.911126931038059","0.108489173503667","SH3GLB1"
"41","0.834562398808468","0.0793879128542782","ZNF326"
"42","0.954898205728903","0.00916668466830445","CDC7"
"43","0.837324039072286","0.0234533688536417","RPL5"
"44","0.779792243624016","0.0349266355508355","CCDC18"
"45","0.744119222284958","0.313319799496378","DR1"
"46","0.839255238789755","0.174632477537528","FNBP1L"
"47","-0.781486944319074","0.45167053218158","FNBP1L"
"48","0.635308376640895","0.577436083089971","ABCD3"
"49","-0.57134041945019","0.567323101703881","ABCD3"
"50","-0.71817769624923","0.146201351666356","ABCD3"
"51","0.886411226115407","0.1314323942205","DCLRE1B"
"52","-0.572789744076391","0.0478631732853966","NBPF8"
"53","-0.679602561081333","0.0553873788632859","FCGR1B"
"54","0.862640707002326","0.178358444464137","SRGAP2C"
"55","0.760764027928832","0.274329885275965","HIST2H2AC"
"56","0.693942722052635","0.510045207676445","VPS45"
"57","0.82974650289108","0.234946302180774","PSMD4"
"58","0.579442909464214","0.00878685476051442","PSMB4"
"59","-0.629794309077212","0.624672748806763","SMCP"
"60","0.822846577667249","0.40212616676336","CHTOP"
"61","0.619787118548344","0.287856614459597","SNAPIN"
"62","0.633967197636427","0.114101648356961","CREB3L4"
"63","-0.68788451002796","0.303512480154754","RPS27"
"64","-0.803165421242219","0.392321309816678","TDRD10"
"65","0.854143461221842","0.165008358604474","CKS1B"
"66","-0.767130778104642","0.3629708363929","RAB25"
"67","-0.62960816199232","0.0986160618126267","CD1D"
"68","-0.656234010962463","0.36655019124766","APCS"
"69","-0.732851032982693","0.340437520822453","ATP1A2"
"70","-0.862422478169216","0.282076486587257","LY9"
"71","0.868523821828491","0.406037564622536","USP21"
"72","-0.747364754901417","0.443512357620359","PCP4L1"
"73","0.605951160525645","0.28312968788341","HSD17B7"
"74","0.947906932468933","0.0519066131827856","NUF2"
"75","-0.72288582702824","0.467124614006664","PBX1"
"76","0.50953437652072","0.238594290384517","POU2F1"
"77","0.747781836128697","0.195960172458658","C1orf112"
"78","-0.610189952574546","0.441314563459888","FMO6P"
"79","0.856110395857625","0.144902064204755","CACYBP"
"80","0.840451367256399","0.0845986856435863","LAMC1"
"81","-0.715207901472751","0.00498376428009084","NFASC"
"82","-0.846252105886143","0.395073068787721","CDK18"
"83","-0.718669362026561","0.484580101759994","C1orf186"
"84","0.853937790468859","0.118225811615956","SRGAP2"
"85","0.495642539613136","0.0221114738087707","IL24"
"86","-0.170623476076684","0.831524297141164","CR1"
"87","-0.660848022613573","0.493788616372249","CR1L"
"88","0.905385874591659","0.127536371467382","DTL"
"89","0.827581353373543","0.146810067655793","RPS6KC1"
"90","-0.139485196484718","0.351390464379953","PSEN2"
"91","-0.131947639816775","0.284192356223169","EDARADD"
"92","0.756595587582803","0.0447429366287249","OR2M5"
"93","0.601073361507878","0.229486139434187","OR2T2"
"94","0.910747087428259","0.41191185026095","NOC2L"
"95","-0.675349032774133","0.0272409526038434","FAM132A"
"96","0.619669726632991","0.43181568445556","UBE2J2"
"97","0.618839961097915","0.564288244077808","MORN1"
"98","0.731460657477238","0.576137345398547","WRAP73"
"99","0.901288134115291","0.129752953513199","ICMT"
"100","0.868507768844332","0.307171772467604","NOL9"
"101","0.882628096150431","0.384486985563119","DFFA"
"102","0.501973798238059","0.152881830710433","SRM"
"103","0.854748854004181","0.31120478776512","FBXO42"
"104","-0.75393874036067","0.297726235506004","RNF186"
"105","-0.864423795908775","0.257683186542056","CAMK2N1"
"106","-0.577307282512721","0.331320922698414","ID3"
"107","0.872865446216819","0.175921263088917","STMN1"
"108","-0.461943754278892","0.470525798927503","FAM46B"
"109","0.98562430478303","0.210219169133672","RPA2"
"110","0.89677861159684","0.231817114813723","SNRNP40"
"111","0.456444635756871","0.303893448688372","TRIM62"
"112","0.821160841742352","0.245771351716423","CLSPN"
"113","0.887495959042612","0.219811475728316","MEAF6"
"114","0.354145353316936","0.663791922240119","INPP5B"
"115","0.933532270465393","0.259726092599257","SF3A3"
"116","0.549396828131696","0.566127241917011","POU3F1"
"117","0.740522337208919","0.417714790585508","TRIT1"
"118","0.854577854711905","0.107956826471871","PPT1"
"119","0.623035550354357","0.458656555051196","IPP"
"120","0.87405445220962","0.11943263991132","ORC1"
"121","0.732788961241248","0.343948425712322","ZCCHC11"
"122","0.972456627850527","0.142001980990551","NDC1"
"123","0.830309564893558","0.396538511844952","DHCR24"
"124","0.633570377130651","0.331143368423495","ITGB3BP"
"125","-0.750413441531591","0.0200185264375718","ROR1-AS1"
"126","-0.80094800703747","0.434301779429693","C1orf141"
"127","-0.908129758033564","0.174616785246187","GNG12"
"128","0.899392052267417","0.157379582656496","DEPDC1"
"129","0.81935985241597","0.247075374118108","LRRC40"
"130","0.845228326101587","0.0649391905930323","PIGK"
"131","0.626535945829613","0.271332087005688","SSX2IP"
"132","-0.923006935878618","0.249165328576633","GBP3"
"133","0.53870105757977","0.584790911833525","GCLM"
"134","-0.7813373660894","0.339687468240618","RPL7"
"135","0.733701366524783","0.13192192090559","PLPPR5"
"136","0.74441374141632","0.0610084352003381","SASS6"
"137","0.583196539102229","0.55982500193587","DBT"
"138","-0.727006440113635","0.141668975389491","OLFM3"
"139","-0.314044223390682","0.0210716997802696","NBPF4"
"140","0.551696837321571","0.383158854857818","HENMT1"
"141","0.840856884557314","0.202412963590432","WDR47"
"142","-0.712545457698431","0.448888048001924","EPS8L3"
"143","-0.782154745750677","0.565638794837281","LAMTOR5"
"144","0.77798940670203","0.559330403126523","WDR77"
"145","-0.765460525970452","0.164174985919706","BCL2L15"
"146","-0.583928482358906","0.0969438110760233","CD58"
"147","0.815891435060424","0.308928698866024","SRGAP2B"
"148","0.91766674265962","0.0272176222939452","RNF115"
"149","-0.431190370118148","0.201745644768478","GJA5"
"150","0.919396725947359","0.0352336150701308","HIST2H2BF"
"151","0.554005463517304","0.239219555443784","HIST2H3D"
"152","0.673699979806274","0.175511136329024","HIST2H2AB"
"153","0.672101145065636","0.411553593922207","OTUD7B"
"154","0.659691379033775","0.442851941727039","APH1A"
"155","0.761313471662541","0.287714897653652","POGZ"
"156","-0.770892585521206","0.409860236015766","S100A6"
"157","0.983184237670087","0.041726643376581","ILF2"
"158","0.796136226238622","0.257522817036761","ILF2"
"159","-0.614567165129426","0.390163852219631","DPM3"
"160","0.851391716608479","0.247976780514676","UBQLN4"
"161","0.752862628747983","0.0188531278581254","IQGAP3"
"162","-0.783232194727401","0.460668716024167","ETV3L"
"163","-0.277993431929384","0.651700861374262","KCNJ10"
"164","0.755807298300369","0.424313186894768","DEDD"
"165","-0.505349051523624","0.484654994479669","MPZ"
"166","-0.666200476932172","0.103826027704206","RP11-9L18.3"
"167","0.893088940180918","0.277376660822294","NME7"
"168","0.210069289238742","0.518141909836993","KIFAP3"
"169","0.800574028178809","0.334497376308113","STX6"
"170","0.727847811005527","0.141124303315657","TPR"
"171","0.708243306972366","0.016440740667539","UCHL5"
"172","-0.558661624794071","0.195761879972357","KCNT2"
"173","0.931809429732551","0.0185070238246369","ASPM"
"174","0.797849243152667","0.271601804454914","KIF14"
"175","0.727045646314711","0.243705386746979","UBE2T"
"176","-0.847585257704789","0.341922571254833","REN"
"177","0.941294374567527","0.125211465108963","RBBP5"
"178","-0.720110902233597","0.227816292106279","ELK4"
"179","0.649354784863111","0.505727102263855","RAB29"
"180","-0.175517391753209","0.460632107595923","AVPR1B"
"181","0.793594856375881","0.268528535831279","FAM72A"
"182","0.900070381376571","0.0104160277466095","NEK2"
"183","0.878006659228218","0.38913128023862","INTS7"
"184","0.842079711941222","0.12036407482999","TAF1A"
"185","0.828567960292255","0.456301565478523","LBR"
"186","0.883527287419819","0.203984353916033","LIN9"
"187","0.90285457444955","0.0419893945883195","PARP1"
"188","0.671267577568405","0.446388981714376","ZNF670"
